Step,Instant_Acc,Avg_Acc,Prompt_Drift,Prompt_Magnitude
46,0.0,46.808509826660156,1.688720941543579,1.7838363647460938
47,0.0,45.833335876464844,1.707782506942749,1.8016170263290405
48,0.0,44.89795684814453,1.7270143032073975,1.8193743228912354
49,0.0,44.0,1.745837926864624,1.836717963218689
50,100.0,45.09804153442383,1.7652020454406738,1.8546726703643799
51,100.0,46.153846740722656,1.7854480743408203,1.872780442237854
52,100.0,47.1698112487793,1.8057310581207275,1.8912478685379028
53,100.0,48.14814758300781,1.8254069089889526,1.9096633195877075
54,0.0,47.27272415161133,1.8453469276428223,1.9285335540771484
55,0.0,46.42857360839844,1.8653206825256348,1.9475146532058716
56,0.0,45.614036560058594,1.8851866722106934,1.9662054777145386
57,0.0,44.82758712768555,1.9047167301177979,1.9845441579818726
58,100.0,45.76271057128906,1.9236029386520386,2.002307653427124
59,0.0,45.000003814697266,1.9417169094085693,2.019465446472168
60,100.0,45.90163803100586,1.9590330123901367,2.036031484603882
61,100.0,46.774192810058594,1.9754902124404907,2.051785707473755
62,0.0,46.0317497253418,1.991556167602539,2.0670089721679688
63,0.0,45.3125,2.006984233856201,2.081535577774048
64,0.0,44.61538314819336,2.0218801498413086,2.0954158306121826
65,100.0,45.45454788208008,2.0359995365142822,2.1087427139282227
66,100.0,46.268653869628906,2.04958438873291,2.121596097946167
67,0.0,45.588233947753906,2.062603712081909,2.133920669555664
68,0.0,44.92753601074219,2.0754852294921875,2.1460413932800293
69,0.0,44.28571319580078,2.087808847427368,2.1577532291412354
70,0.0,43.66197204589844,2.0995447635650635,2.1688923835754395
71,0.0,43.05555725097656,2.1105735301971436,2.1793620586395264
72,0.0,42.46575164794922,2.121081590652466,2.1892855167388916
73,0.0,41.89189147949219,2.1311514377593994,2.1988422870635986
74,100.0,42.66666793823242,2.1411149501800537,2.2082204818725586
75,100.0,43.42105484008789,2.1504223346710205,2.2170939445495605
76,0.0,42.85714340209961,2.159364700317383,2.2256319522857666
77,0.0,42.30769348144531,2.1681060791015625,2.233980417251587
78,0.0,41.772151947021484,2.176286458969116,2.2419674396514893
79,0.0,41.25,2.183865547180176,2.249398708343506
80,100.0,41.97530746459961,2.1907968521118164,2.2562873363494873
81,100.0,42.682926177978516,2.197624444961548,2.2630369663238525
82,0.0,42.16867446899414,2.204334020614624,2.269644021987915
83,0.0,41.66666793823242,2.210768699645996,2.2758984565734863
84,100.0,42.352943420410156,2.2171638011932373,2.281963348388672
85,0.0,41.86046600341797,2.2230701446533203,2.2876479625701904
86,100.0,42.52873611450195,2.2285873889923096,2.2930829524993896
87,100.0,43.181819915771484,2.2336573600769043,2.2981226444244385
88,0.0,42.69662857055664,2.238574266433716,2.30301833152771
89,0.0,42.22222137451172,2.2430193424224854,2.3076484203338623
90,100.0,42.85714340209961,2.247504949569702,2.3122568130493164
91,0.0,42.39130401611328,2.251418113708496,2.316444158554077
92,0.0,41.935482025146484,2.2554104328155518,2.3206472396850586
93,0.0,41.48936080932617,2.259380340576172,2.3248074054718018
94,100.0,42.10526657104492,2.263263702392578,2.328857421875
95,100.0,42.708335876464844,2.266716480255127,2.3325486183166504
96,0.0,42.26803970336914,2.2699105739593506,2.33600115776062
97,0.0,41.836734771728516,2.273084878921509,2.339327812194824
98,100.0,42.42424392700195,2.276660680770874,2.342989921569824
99,100.0,43.0,2.280233383178711,2.3466310501098633
100,0.0,42.574256896972656,2.2837135791778564,2.350186347961426
101,0.0,42.156864166259766,2.287446975708008,2.353809356689453
102,100.0,42.718448638916016,2.292107105255127,2.3583314418792725
